"Line Probe: Direction [1,0,0] (m)","Line Probe: Velocity: Magnitude (m/s)"
13.027999999999999,2.773426764669325E-4
13.076,2.773426764669325E-4
13.124000000000002,2.7834683222743427E-4
13.172,2.7834683222743427E-4
13.219999999999999,2.7933774623953485E-4
13.268,2.7933774623953485E-4
13.316000000000003,2.803156804926714E-4
13.364,2.803156804926714E-4
13.411999999999999,2.812809550512905E-4
13.46,2.812809550512905E-4
13.508000000000003,2.822338027373439E-4
13.556000000000001,2.822338027373439E-4
13.604,2.831744854169256E-4
13.652000000000001,2.831744854169256E-4
13.700000000000003,2.831744854169256E-4
13.748000000000001,2.841032650744028E-4
13.796,2.841032650744028E-4
13.844000000000001,2.8502037450244287E-4
13.892000000000003,2.8502037450244287E-4
13.940000000000001,2.8592601739480385E-4
13.988,2.8592601739480385E-4
14.035999999999998,2.8682045568973065E-4
14.084,2.8682045568973065E-4
14.131999999999998,2.8770392217137127E-4
14.18,2.8770392217137127E-4
14.227999999999998,2.88576620580972E-4
14.276,2.88576620580972E-4
14.323999999999998,2.894387546075108E-4
14.372,2.894387546075108E-4
14.419999999999998,2.902905571075382E-4
14.468,2.902905571075382E-4
14.515999999999998,2.9113226087139484E-4
14.564,2.9113226087139484E-4
14.611999999999998,2.919640113871553E-4
14.66,2.919640113871553E-4
14.707999999999998,2.9278604152452434E-4
14.756,2.9278604152452434E-4
14.803999999999998,2.935985258446669E-4
14.852,2.935985258446669E-4
14.899999999999999,2.935985258446669E-4
14.948,2.944016680970038E-4
14.995999999999999,2.944016680970038E-4
15.044,2.9519567197766833E-4
15.091999999999999,2.9519567197766833E-4
15.14,2.959806538955644E-4
15.187999999999999,2.959806538955644E-4
15.236,2.9675687580847583E-4
15.283999999999999,2.9675687580847583E-4
15.332,2.9752445408224963E-4
15.379999999999999,2.9752445408224963E-4
15.428,2.9828356337154255E-4
15.475999999999999,2.9828356337154255E-4
15.524000000000001,2.990344364561561E-4
15.572,2.990344364561561E-4
15.620000000000001,2.9977718976823795E-4
15.668,2.9977718976823795E-4
15.716000000000001,3.005119688231978E-4
15.764,3.005119688231978E-4
15.812000000000001,3.0123894820681965E-4
15.86,3.0123894820681965E-4
15.908000000000001,3.019583025792839E-4
15.956,3.019583025792839E-4
16.004,3.026701774206769E-4
16.052,3.026701774206769E-4
16.1,3.026701774206769E-4
16.148,3.033747473842885E-4
16.196,3.033747473842885E-4
16.244,3.0407209972586815E-4
16.292,3.0407209972586815E-4
16.34,3.0476246729351875E-4
16.388,3.0476246729351875E-4
16.436,3.054459374305707E-4
16.484,3.054459374305707E-4
16.532,3.0612265558687486E-4
